bayc_id,bakc_id,mayc_m1_id,mayc_m2_id,mayc_m3_id,all_mayc_ids,notes,source_confidence
8692,8692,27384,,,27384,,confirmed
8693,8693,27386,,,27386,,confirmed
8694,8694,27388,27389,,"27388,27389",,confirmed
8695,8695,,,,,NO_MAYC,confirmed
8696,8696,27392,27393,,"27392,27393",,confirmed
8697,8697,27394,,,27394,,confirmed
8698,8698,,,,,NO_MAYC,confirmed
8699,8699,,27399,,27399,,confirmed
8700,8700,,,,,NO_MAYC,confirmed
8701,8701,27402,,,27402,,confirmed
8702,8702,27404,27405,,"27404,27405",,confirmed
8703,8703,27406,,,27406,,confirmed
8704,8704,,,,,NO_MAYC,confirmed
8705,8705,27410,27411,,"27410,27411",,confirmed
8706,8706,27412,,,27412,,confirmed
8707,8707,27414,27415,,"27414,27415",,confirmed
8708,8708,,,,,NO_MAYC,confirmed
8709,8709,,,,,NO_MAYC,confirmed
8710,8710,27420,27421,,"27420,27421",,confirmed
8711,8711,27422,,,27422,,confirmed
8712,8712,27424,,,27424,,confirmed
8713,8713,,,,,NO_MAYC,confirmed
8714,8714,27428,27429,,"27428,27429",,confirmed
8715,8715,,,,,NO_MAYC,confirmed
8716,8716,27432,27433,,"27432,27433",,confirmed
8717,8717,27434,,,27434,,confirmed
8718,8718,27436,27437,,"27436,27437",,confirmed
8719,8719,,,,,NO_MAYC,confirmed
8720,8720,,,,,NO_MAYC,confirmed
8721,8721,27442,,,27442,,confirmed
8722,8722,27444,27445,,"27444,27445",,confirmed
8723,8723,27446,,,27446,,confirmed
8724,8724,27448,,,27448,,confirmed
8725,8725,27450,,,27450,,confirmed
8726,8726,27452,,,27452,,confirmed
8727,8727,,,,,NO_MAYC,confirmed
8728,8728,,,,,NO_MAYC,confirmed
8729,8729,27458,,,27458,,confirmed
8730,8730,27460,27461,,"27460,27461",,confirmed
8731,8731,27462,27463,,"27462,27463",,confirmed
8732,8732,,27465,,27465,,confirmed
8733,8733,27466,,,27466,,confirmed
8734,8734,27468,,,27468,,confirmed
8735,8735,27470,,,27470,,confirmed
8736,8736,27472,27473,,"27472,27473",,confirmed
8737,8737,,,,,NO_MAYC,confirmed
8738,8738,27476,,,27476,,confirmed
8739,8739,27478,,,27478,,confirmed
8740,8740,27480,,,27480,,confirmed
8741,8741,,,,,NO_MAYC,confirmed
8742,8742,27484,,,27484,,confirmed
8743,8743,27486,,,27486,,confirmed
8744,8744,,,,,NO_MAYC,confirmed
8745,8745,27490,,,27490,,confirmed
8746,8746,27492,27493,,"27492,27493",,confirmed
8747,8747,27494,,,27494,,confirmed
8748,8748,27496,,,27496,,confirmed
8749,8749,27498,,,27498,,confirmed
8750,8750,27500,,,27500,,confirmed
8751,8751,27502,,,27502,,confirmed
8752,8752,27504,27505,,"27504,27505",,confirmed
8753,8753,27506,27507,,"27506,27507",,confirmed
8754,8754,27508,,,27508,,confirmed
8755,8755,27510,,,27510,,confirmed
8756,8756,,,,,NO_MAYC,confirmed
8757,8757,27514,27515,,"27514,27515",,confirmed
8758,8758,27516,,,27516,,confirmed
8759,8759,27518,27519,,"27518,27519",,confirmed
8760,8760,,,,,NO_MAYC,confirmed
8761,8761,27522,,,27522,,confirmed
8762,8762,27524,27525,,"27524,27525",,confirmed
8763,8763,,,,,NO_MAYC,confirmed
8764,8764,27528,,,27528,,confirmed
8765,8765,27530,27531,,"27530,27531",,confirmed
8766,8766,27532,,,27532,,confirmed
8767,8767,,,,,NO_MAYC,confirmed
8768,,27536,27537,,"27536,27537",NO_BAKC,confirmed
8769,8769,27538,,,27538,,confirmed
8770,8770,,,,,NO_MAYC,confirmed
8771,8771,27542,,,27542,,confirmed
8772,,27544,27545,,"27544,27545",NO_BAKC,confirmed
8773,,27546,,,27546,NO_BAKC,confirmed
8774,8774,27548,,,27548,,confirmed
8775,8775,,,,,NO_MAYC,confirmed
8776,8776,27552,27553,,"27552,27553",,confirmed
8777,8777,27554,,,27554,,confirmed
8778,8778,,,,,NO_MAYC,confirmed
8779,8779,,,,,NO_MAYC,confirmed
8780,8780,27560,,,27560,,confirmed
8781,8781,27562,27563,,"27562,27563",,confirmed
8782,8782,27564,27565,,"27564,27565",,confirmed
8783,8783,27566,,,27566,,confirmed
8784,8784,27568,27569,,"27568,27569",,confirmed
8785,8785,27570,,,27570,,confirmed
8786,8786,27572,,,27572,,confirmed
8787,8787,27574,,,27574,,confirmed
8788,8788,27576,,,27576,,confirmed
8789,8789,27578,,,27578,,confirmed
8790,8790,27580,27581,,"27580,27581",,confirmed
8791,8791,27582,,,27582,,confirmed
8792,8792,,,,,NO_MAYC,confirmed
8793,8793,27586,,,27586,,confirmed
8794,8794,27588,27589,,"27588,27589",,confirmed
8795,8795,27590,,,27590,,confirmed
8796,8796,,,,,NO_MAYC,confirmed
8797,8797,27594,,,27594,,confirmed
8798,8798,,,,,NO_MAYC,confirmed
8799,8799,,,,,NO_MAYC,confirmed
8800,8800,27600,27601,,"27600,27601",,confirmed
8801,8801,,,,,NO_MAYC,confirmed
8802,8802,27604,,,27604,,confirmed
8803,8803,27606,,,27606,,confirmed
8804,8804,27608,,,27608,,confirmed
8805,8805,27610,27611,,"27610,27611",,confirmed
8806,8806,27612,,,27612,,confirmed
8807,8807,,,,,NO_MAYC,confirmed
8808,8808,,,,,NO_MAYC,confirmed
8809,8809,,,,,NO_MAYC,confirmed
8810,8810,27620,,,27620,,confirmed
8811,8811,27622,27623,,"27622,27623",,confirmed
8812,8812,,,,,NO_MAYC,confirmed
8813,8813,,,,,NO_MAYC,confirmed
8814,8814,27628,27629,,"27628,27629",,confirmed
8815,8815,,,,,NO_MAYC,confirmed
8816,8816,,,,,NO_MAYC,confirmed
8817,8817,27634,27635,,"27634,27635",,confirmed
8818,8818,,,,,NO_MAYC,confirmed
8819,8819,27638,,,27638,,confirmed
8820,8820,,,,,NO_MAYC,confirmed
8821,8821,27642,,,27642,,confirmed
8822,8822,27644,,,27644,,confirmed
8823,8823,27646,,,27646,,confirmed
8824,8824,27648,27649,,"27648,27649",,confirmed
8825,8825,27650,27651,,"27650,27651",,confirmed
8826,8826,27652,27653,,"27652,27653",,confirmed
8827,8827,27654,27655,,"27654,27655",,confirmed
8828,8828,27656,,,27656,,confirmed
8829,8829,27658,27659,,"27658,27659",,confirmed
8830,8830,27660,,,27660,,confirmed
8831,8831,27662,,,27662,,confirmed
8832,8832,27664,,,27664,,confirmed
8833,8833,27666,,,27666,,confirmed
8834,8834,27668,27669,,"27668,27669",,confirmed
8835,8835,27670,,,27670,,confirmed
8836,8836,27672,,,27672,,confirmed
8837,8837,27674,,,27674,,confirmed
8838,8838,,27677,,27677,,confirmed
8839,8839,,,,,NO_MAYC,confirmed
8840,8840,,,,,NO_MAYC,confirmed
8841,8841,27682,,,27682,,confirmed
8842,8842,27684,,,27684,,confirmed
8843,8843,27686,27687,,"27686,27687",,confirmed
8844,8844,27688,,,27688,,confirmed
8845,8845,27690,,,27690,,confirmed
8846,8846,,,,,NO_MAYC,confirmed
8847,8847,27694,27695,,"27694,27695",,confirmed
8848,8848,27696,27697,,"27696,27697",,confirmed
8849,8849,27698,,,27698,,confirmed
8850,8850,27700,,,27700,,confirmed
8851,,27702,,,27702,NO_BAKC,confirmed
8852,8852,,,,,NO_MAYC,confirmed
8853,8853,27706,,,27706,,confirmed
8854,8854,,27709,,27709,,confirmed
8855,8855,27710,,,27710,,confirmed
8856,8856,27712,,,27712,,confirmed
8857,8857,27714,27715,,"27714,27715",,confirmed
8858,8858,27716,,,27716,,confirmed
